Date,Regime_SG,Regime_Rot,Regime_Fuj,Regime_Hou,Regime_Pan
2022-05-06,Base,Base,Base,Base,Base
2022-05-13,Jump,Jump,Jump,Base,Base
2022-05-20,Jump,Base,Jump,Jump,Jump
2022-05-27,Jump,Base,Jump,Jump,Base
2022-06-03,Jump,Jump,Jump,Jump,Base
2022-06-10,Jump,Jump,Jump,Base,Jump
2022-06-17,Jump,Jump,Base,Jump,Base
2022-06-24,Base,Jump,Jump,Jump,Base
2022-07-01,Jump,Jump,Jump,Base,Base
2022-07-08,Base,Jump,Base,Jump,Jump
2022-07-15,Jump,Base,Base,Base,Jump
2022-07-22,Jump,Base,Jump,Base,Base
2022-07-29,Jump,Base,Jump,Jump,Base
2022-08-05,Jump,Jump,Base,Jump,Jump
2022-08-12,Jump,Jump,Jump,Jump,Base
2022-08-19,Jump,Jump,Jump,Jump,Jump
2022-08-26,Jump,Base,Base,Base,Base
2022-09-02,Base,Base,Jump,Jump,Base
2022-09-09,Base,Jump,Jump,Base,Base
2022-09-16,Jump,Jump,Jump,Jump,Base
2022-09-23,Base,Base,Base,Base,Base
2022-09-30,Base,Jump,Jump,Base,Base
2022-10-07,Jump,Jump,Jump,Jump,Base
2022-10-14,Jump,Jump,Base,Base,Jump
2022-10-21,Base,Base,Base,Jump,Jump
2022-10-28,Base,Base,Base,Base,Base
2022-11-04,Jump,Jump,Base,Jump,Jump
2022-11-11,Base,Base,Base,Base,Base
2022-11-18,Jump,Jump,Base,Jump,Jump
2022-11-25,Base,Jump,Base,Jump,Jump
2022-12-02,Jump,Base,Jump,Base,Base
2022-12-09,Jump,Base,Base,Base,Jump
2022-12-16,Jump,Jump,Base,Jump,Jump
2022-12-23,Base,Base,Base,Jump,Jump
2022-12-30,Base,Base,Jump,Base,Jump
2023-01-06,Base,Base,Base,Base,Jump
2023-01-13,Base,Base,Base,Jump,Base
2023-01-20,Jump,Base,Jump,Jump,Base
2023-01-27,Jump,Base,Jump,Base,Jump
2023-02-03,Base,Base,Base,Base,Base
2023-02-10,Jump,Base,Jump,Base,Base
2023-02-17,Jump,Base,Jump,Base,Base
2023-02-24,Jump,Jump,Jump,Base,Jump
2023-03-03,Base,Base,Jump,Base,Base
2023-03-10,Base,Base,Base,Base,Base
2023-03-17,Base,Jump,Base,Jump,Base
2023-03-24,Base,Base,Jump,Jump,Base
2023-03-31,Base,Base,Base,Base,Base
2023-04-07,Base,Jump,Base,Base,Base
2023-04-14,Base,Jump,Base,Base,Base
2023-04-21,Base,Base,Base,Base,Base
2023-04-28,Base,Base,Base,Jump,Base
2023-05-05,Base,Base,Base,Base,Base
2023-05-12,Base,Base,Base,Base,Base
2023-05-19,Base,Base,Base,Base,Base
2023-05-26,Base,Base,Jump,Base,Base
2023-06-02,Base,Base,Base,Base,Base
2023-06-09,Base,Base,Base,Base,Base
2023-06-16,Base,Base,Base,Base,Jump
2023-06-23,Base,Jump,Base,Base,Base
2023-06-30,Jump,Base,Base,Base,Base
2023-07-07,Jump,Base,Base,Jump,Base
2023-07-14,Jump,Base,Base,Jump,Base
2023-07-21,Base,Base,Base,Base,Base
2023-07-28,Base,Base,Base,Base,Base
2023-08-04,Jump,Base,Base,Jump,Base
2023-08-11,Jump,Jump,Base,Jump,Base
2023-08-18,Base,Base,Base,Base,Base
2023-08-25,Base,Base,Base,Base,Base
2023-09-01,Base,Base,Base,Base,Base
2023-09-08,Base,Jump,Base,Base,Base
2023-09-15,Base,Base,Base,Base,Base
2023-09-22,Jump,Base,Jump,Base,Base
2023-09-29,Base,Base,Base,Base,Base
2023-10-06,Jump,Jump,Jump,Jump,Base
2023-10-13,Base,Base,Base,Base,Base
2023-10-20,Base,Base,Base,Base,Base
2023-10-27,Base,Base,Base,Base,Base
2023-11-03,Jump,Base,Jump,Base,Base
2023-11-10,Base,Base,Jump,Base,Base
2023-11-17,Base,Base,Base,Jump,Base
2023-11-24,Base,Base,Base,Base,Base
2023-12-01,Jump,Base,Jump,Base,Base
2023-12-08,Base,Base,Base,Jump,Base
2023-12-15,Jump,Base,Base,Jump,Base
2023-12-22,Jump,Base,Jump,Base,Base
2023-12-29,Base,Base,Base,Jump,Base
2024-01-05,Jump,Base,Jump,Base,Base
2024-01-12,Base,Base,Base,Jump,Base
2024-01-19,Jump,Base,Base,Jump,Base
2024-01-26,Jump,Base,Base,Jump,Base
2024-02-02,Base,Base,Base,Jump,Jump
2024-02-09,Base,Base,Base,Base,Base
2024-02-16,Base,Base,Base,Base,Base
2024-02-23,Base,Base,Base,Base,Base
2024-03-01,Base,Base,Base,Base,Base
2024-03-08,Base,Base,Base,Base,Jump
2024-03-15,Base,Base,Base,Base,Jump
2024-03-22,Base,Base,Jump,Base,Base
2024-03-29,Base,Base,Base,Base,Base
2024-04-05,Base,Base,Base,Base,Base
2024-04-12,Base,Base,Base,Base,Base
2024-04-19,Base,Base,Jump,Jump,Jump
2024-04-26,Base,Base,Base,Jump,Jump
2024-05-03,Jump,Jump,Jump,Jump,Base
2024-05-10,Base,Base,Base,Base,Base
2024-05-17,Base,Base,Base,Jump,Jump
2024-05-24,Jump,Base,Jump,Base,Base
2024-05-31,Base,Jump,Base,Base,Base
2024-06-07,Base,Base,Base,Base,Base
2024-06-14,Base,Base,Base,Base,Base
2024-06-21,Base,Base,Base,Base,Base
2024-06-28,Jump,Base,Jump,Jump,Base
2024-07-05,Base,Base,Base,Base,Base
2024-07-12,Base,Base,Base,Base,Base
2024-07-19,Base,Base,Base,Base,Base
2024-07-26,Base,Base,Base,Base,Base
2024-08-02,Base,Jump,Base,Jump,Base
2024-08-09,Base,Base,Base,Base,Base
2024-08-16,Base,Base,Base,Jump,Base
2024-08-23,Jump,Base,Base,Base,Base
2024-08-30,Base,Jump,Base,Base,Base
2024-09-06,Jump,Base,Base,Base,Base
2024-09-13,Jump,Base,Jump,Base,Base
2024-09-20,Base,Base,Base,Base,Base
2024-09-27,Base,Base,Jump,Base,Base
2024-10-04,Base,Jump,Base,Base,Base
2024-10-11,Base,Jump,Base,Base,Jump
2024-10-18,Base,Jump,Base,Base,Base
2024-10-25,Base,Jump,Base,Base,Base
2024-11-01,Base,Jump,Base,Base,Base
2024-11-08,Base,Jump,Base,Jump,Base
2024-11-15,Jump,Base,Base,Base,Base
2024-11-22,Base,Jump,Jump,Base,Base
2024-11-29,Jump,Base,Base,Base,Base
2024-12-06,Base,Base,Base,Base,Base
2024-12-13,Base,Base,Base,Base,Jump
2024-12-20,Base,Base,Base,Base,Base
2024-12-27,Base,Base,Base,Base,Base
2025-01-03,Base,Base,Base,Jump,Base
2025-01-10,Base,Jump,Jump,Base,Base
2025-01-17,Base,Base,Base,Base,Base
2025-01-24,Base,Base,Base,Base,Base
2025-01-31,Base,Base,Base,Base,Base
2025-02-07,Base,Base,Jump,Jump,Base
2025-02-14,Base,Jump,Base,Base,Base
2025-02-21,Base,Base,Base,Base,Base
2025-02-28,Jump,Base,Jump,Base,Base
2025-03-07,Base,Base,Base,Base,Base
2025-03-14,Base,Base,Base,Base,Base
2025-03-21,Base,Base,Base,Base,Base
2025-03-28,Base,Base,Base,Base,Base
2025-04-04,Base,Base,Base,Base,Base
2025-04-11,Base,Base,Base,Base,Base
2025-04-18,Base,Base,Base,Base,Base
2025-04-25,Base,Base,Base,Base,Base
2025-05-02,Base,Base,Base,Base,Base
2025-05-09,Base,Base,Jump,Base,Base
2025-05-16,Base,Base,Base,Base,Base
2025-05-23,Base,Base,Base,Base,Base
2025-05-30,Base,Base,Base,Base,Base
2025-06-06,Base,Base,Base,Base,Base
2025-06-13,Base,Base,Base,Base,Base
